Timestamp,5. What is your affiliation with Granite School District? ,6. Which school do you represent or have students at? ,7. Which high school network do you belong to? ,"Which of the following, if any, does your feedback best pertain to? (You may choose more than one)","8. Please use this space to add any specific comments or information that you would like to share with the Population Analysis Committee and GSD School Board Members for evaluation. 
"
9/24/2025 9:49:30,A) I am a parent / patron with students attending one of the schools in the boundary study.,4. Eastwood El,Skyline,Eastwood Closure,"Hello, my name is [name removed], I am an Eastwood parent. I am making a comment. Members of the Eastwood community has done some research with 1) the community and 2) canyon rim academy that we feel is important for the district to consider now in preparing the next recommendation. Canyon Rim Academy — a top-performing charter school and one of the district’s biggest competitors — is completing a brand-new, earthquake-resistant campus set to open next school year. Eastwood is not only closer to Canyon Rim than Oakridge, but up to 14% of Eastwood’s current students live within just a half-mile of Canyon Rim Academy. For the first time, Canyon Rim is beginning to pull significantly from its two-mile enrollment tier — which completely overlaps with Eastwood’s boundary. This means that any students displaced by an Eastwood closure are very likely to enroll there. Based on our projections, this could double annual enrollment decline at each of the adjacent schools within the second tier, i.e. Rosecrest, Upland terrace, and Eastwood, and half of Penn, over the next few years. This raises two critical questions: Why this year? Why close Eastwood in the exact year Canyon Rim opens a brand-new facility? How many of Canyon Rim’s new students will come directly from Eastwood families? To understand our community’s perspective, we surveyed 45% of Eastwood families — nearly all in-boundary families — despite not being able to use school property or official channels. The results were clear: When asked about transferring to Oakridge, the response was split and leaning negative. When asked about attending a charter school, the response was strongly supportive, with most families favoring that option. In other words, if Eastwood closes now, many families will leave the district altogether. Three takeaways: Closing a school within Canyon Rim’s two-mile zone without addressing competition will accelerate district enrollment loss. Closing an older school the same year a competitor opens a modern facility is high-risk. Please perform this level of due diligence by December 2nd or take one more year to fully analyze these dynamics before finalizing this decision — the timing matters, and so do the voices of Eastwood families. Thank you.
"
9/24/2025 11:57:25,A) I am a parent / patron with students attending one of the schools in the boundary study.,4. Eastwood El,Skyline,Eastwood Closure,"I was born and raised in the Eastwood boundaries, graduated from Skyline High in 1973 and moved back in the area to raise my children in 1981. All my children went to Eastwood Elementary and two grandchildren with another soon to attended Eastwood. [teacher name removed] at the time taught [student name removed] Jazz Band and encouraged him to play the trombone instead of trumpet -- a success in Junior High. I love my Eastwood community -- I was PTA President and served all the chairs, Region PTA Reflections chair ( I worked with [names removed] on our presentation at the District office ) as well as with [name removed] at the PTA Region level,  Skyline Council Reflection Chair and Skyline Community Council Chair. I have been involved to keep my Eastwood Community thriving. . .  I worked as the Playground and Parking lot Duty at Eastwood for over 20 years.  I feel you should put the Gifted and Talented Program at Eastwood because Eastwood has always been a forerunner in making programs succeed.. . . we were the first for coop classrooms -- success.  first for preschool - success. first for Kindergarten Academy -- success. You took  these programs and infiltrated them into the other district elementarys because they were successful and we made a plan to make them work. We have always been successful at keeping our student numbers until you make us compete for the programs that made us a success. I tried to speak at the meeting last night at Skyline High, but there were too many others that also wanted to speak. . . please calll me and I am always happy to defend my Eastwood Community -- Thanks for all you do"
9/24/2025 12:03:06,A) I am a parent / patron with students attending one of the schools in the boundary study.,4. Eastwood El,Skyline,Eastwood Closure,"I was born and raised in the Eastwood boundaries, graduated from Skyline High in 1973 and moved back in the area to raise my children in 1981. All my children went to Eastwood Elementary and two grandchildren with another soon to attended Eastwood. [teacher name removed] at the time taught [student name removed] Jazz Band and encouraged him to play the trombone instead of trumpet -- a success in Junior High. I love my Eastwood community -- I was PTA President and served all the chairs, Region PTA Reflections chair ( I worked with [names removed] on our presentation at the District office ) as well as with [name removed] at the PTA Region level,  Skyline Council Reflection Chair and Skyline Community Council Chair. I have been involved to keep my Eastwood Community thriving. . .  I worked as the Playground and Parking lot Duty at Eastwood for over 20 years.  I feel you should put the Gifted and Talented Program at Eastwood because Eastwood has always been a forerunner in making programs succeed.. . . we were the first for coop classrooms -- success.  first for preschool - success. first for Kindergarten Academy -- success. You took  these programs and infiltrated them into the other district elementarys because they were successful and we made a plan to make them work. We have always been successful at keeping our student numbers until you make us compete for the programs that made us a success. I tried to speak at the meeting last night at Skyline High, but there were too many others that also wanted to speak. . . please calll me and I am always happy to defend my Eastwood Community -- Thanks for all you do"
9/24/2025 15:07:14,A) I am a parent / patron with students attending one of the schools in the boundary study.,4. Eastwood El,Skyline,"The ALC Program, Eastwood Closure","Eastwood Elementary is the clear choice for relocating the Morningside Advanced Learning Center. we have proven stability. Eastwood has exceptional student and teacher retention, creating a strong, consistent learning community. We demonstrate STEM Excellence. As a Gold STEM Certified school, Eastwood is already a leader in innovative, hands-on learning. We are a top 10 elementary school in Utah. Our school consistently ranks among the top ten elementary schools statewide, a testament to rigorous academics and strong family partnerships. We have many GT-certified teachers. With multiple Gifted and Talented certified educators, Eastwood is uniquely prepared to meet the needs of advanced learners. And we are conveniently located. Centrally located and commuter-friendly, Eastwood is accessible for families across the district. Eastwood combines excellence, expertise, and accessibility. Moving the ALC here ensures the program not only succeeds, but thrives.
"
9/24/2025 17:07:06,A) I am a parent / patron with students attending one of the schools in the boundary study.,"5. Morningside El, 11. Churchill Jr, 14. Wasatch Jr",Skyline,"The DLI Program, A Boundary Change","Our family wants to thank you so much for all of your time, efforts, and endurance to find the best solution for our current students and students moving forward. We appreciate the time (that we are sure amounts to countless hours) you’ve spent to research and present recommendations. We have had kids in the Morningside ALC, traditional, and French classes. We recognize that change is hard, and always brings some challenges, but we are very much looking forward to the proposed changes, specifically those affecting our 3rd grader in DLI. With our past experiences at Morningside we recognize that having the school fully devoted to a DLI program would be such a blessing to those students in many ways by being immersed in a full DLI school culture. They will be able to be proud of that opportunity and accomplishment and not have to be so sensitive to not hurt feelings or step on toes of others not in the program. We are also excited about the tremendous benefits to learning that will come with a full school devoted to DLI. We are happy to specifically list more of the benefits we foresee if this information is helpful in making the final decision. (Please let me know if further information would be helpful.) We are very much looking forward to this change and hope the board approves your recommendation. "
9/24/2025 17:17:39,A) I am a parent / patron with students attending one of the schools in the boundary study.,5. Morningside El,Olympus,"The ALC Program, Morningside Closure","I think that it does not make sense to move the ALC program from Morningside before the study of the ALC program has been performed.  Please pause the closure of Morningside until that study is performed. The rationale for initially targeting Morningside was said to be low in-boundary utilization.  However, with a commitment to keep the longstanding ALC and French programs, Steve Hogan acknowledged that total utilization would be more relevant.  I know PAC will not want to recreate the wheel, but given the change in the ALC program recommendations, closing Morningside no longer makes sense.  You are picking a high utilization school with happy, effective programs and are choosing to close it to fill up schools that have lower utilization and numbers.  That is unfair to the Morningside community and creates distrust.  We do not need 3 traditional classrooms to provide options.  We are fine with our model, even if we have to have a split classroom.  We would prefer our imperfect system to the newer, more imperfect system proposed by the PAC.    There is clearly something else going on behind the scenes when you pick a school with happy teachers, kids and parents and decide to split it up to send kids to lower performing and lower utilized schools.  Please PAUSE the closure of Morningside until more analysis can be done.  At the very least, please do not move the ALC program until sufficient French demand has been shown. I do not think that demand will materialize and I am not in favor of my tax moneys being spent to finance a French only school.  Please do not move forward with this plan.  "
9/24/2025 17:39:01,A) I am a parent / patron with students attending one of the schools in the boundary study.,5. Morningside El,Skyline,Morningside Closure,"The reasoning behind closing Morningside isn't backed up with any real data or info. The district wanting there to be 3 traditional classrooms per grade isn't sufficient. This is a unique school, I have yet to hear a traditional parent saying that they aren't happy. Families like the options of three tracks, many utilize 2 within their family. It's a way to keep kids together. This is our neighborhood school and the low utilization that is pointed to is in part to the goofy boundary that morningside has that jumps up to the Canyon Rim neighborhood. This is a functioning school right now and to separate this school is irresponsible. To look at two classrooms that are low and say that's proof is cherry picking data to support your goal. Opening a fully French DLI has not been discussed enough in real details. No one has shared ANY data that there is desire from enough families to go from roughly 250 DLI kids to 500. I'm extremely worried that next year and the year after that there won't be enough for four classrooms per grade and we'll end up with split classrooms or overloaded classrooms in an already challenging environment. When that happens are you prepared to give extra support or are you going to just close the French DLI school at that point? This is not just a commuter school, this is in the center of a neighborhood that loves this school. The board members and the superintendent are not answering questions about this. Why do we not hear why Cottonwood shouldn't close? Where are all the options laid out? It's clear these plans aren't considered, you're going to lose far more families with the Eastwood closure than you will gain in this French program you think is going to add to this area. "
9/24/2025 20:25:17,A) I am a parent / patron with students attending one of the schools in the boundary study.,5. Morningside El,Skyline,Morningside Closure,We specifically moved from Draper to Milcreek neighborhood to be able to send our kids to Morningside with the goal of them eventually going to Skyline. We are completely caught off guard by this decision and have to disrupt our kids lives two years in a row by this decision. We found Morningside to be a wonderful school with great resources and teachers. It has close to 90% utilization rate so doesn’t make any sense as why would you be shutting down such a thriving ecosystem. The reasons presented for closure don’t seem reasonable and it unclear what is end goal of the board with this decision. 
9/24/2025 20:52:16,A) I am a parent / patron with students attending one of the schools in the boundary study.,5. Morningside El,Skyline,"The ALC Program, A Boundary Change, Morningside Closure","Morningside school closure proposed and seemingly already decided is flawed in the setting of high enrollment rate Morningside. The population study overlooks significant local factors, and disregards the negative impact of school closure on school and local community. The district seems to have a narrow focus on finances and also fails to account for the community value of the school. Decision to close traditional program at morningside is short sided, unfair and poorly supported based on flawed data in a school that enjoys high morale and also high enrollment. I urge not to close Morningside for the current and future students and for the school community."
9/24/2025 21:50:58,"B) I live within the boundaries of one of the affected schools, but do not have children attending at this time.",4. Eastwood El,Skyline,Eastwood Closure,"I live within Eastwood boundaries.  I attended Eastwood Churchill and Skyline.  My kids attended Eastwood Churchill and Skyline. 
 Why did you exclude Emigration Canyon students in the dot map. Did excluding it allow you to claim Oakridge as the central location?   It appears that the majority of students on the dot map  attending from below Wasatch Blvd are closer to Eastwood. 

Eastwood successfully handled student traffic for enrollment  for the last 20 years.  It has drop offs to the parking lot and to the path off Eastwood drive.  

Since both Eastwood and Oakridge have a similar FCI it makes sense that one of the schools will close and the other one will be rebuilt.   So student capacity and drop off issues don’t really apply.  The Olympus cove also has fewer affordable homes for families bringing future students to our area.  

 Thank you for considering these points 

[Name removed]"
9/24/2025 22:19:39,A) I am a parent / patron with students attending one of the schools in the boundary study.,5. Morningside El,Skyline,"The ALC Program, Morningside Closure","Closing Morningside does not achieve the stated goals of the PAC. It would leave the school severely underutilized, create a domino effect on Driggs’ boundaries, and result in split feeders. The counterargument—that Morningside only has one traditional class per grade—seems inconsistent, as other schools in Area 5 would still face that same challenge anyway.

From what I understand, it is difficult to integrate special programs into a school community, yet Morningside has already done that important work. My children play with peers across all tracks, and the school has been intentional in fostering connections beyond individual classes. And many families have kids in multiple tracks. And, at a time when many are turning to attack one another to save their own interests, I have seen families from Morningside come together to support one another and save the school as a whole and not just their individual tracks. Why dismantle a thriving, integrated community only to recreate the same “small school” issue somewhere else?

Additionally, there does not appear to be sufficient data to ensure the long-term success of a stand-alone French DLI school. Dos Mundos is too new to serve as a reliable comparison, particularly given that French and Spanish programs operate in different contexts. Spanish, as a more widely spoken language in our community and state, has a larger base of potential students and resources, while French programs naturally face different participation and sustainability challenges. And where can a student go if they decide French is not for them? Aren’t you just creating a small “French” school problem with less parents to serve on PTA and less teachers to chair committees? Aren’t we increasing overhead costs by running a school at such low capacity? If this experiment fails, what will happen to the French DLI? It seems too big to absorb into any other existing school in area 5.

Morningside closure does not make sense. Please think carefully before disrupting our community.

Thank you."
9/24/2025 22:49:48,A) I am a parent / patron with students attending one of the schools in the boundary study.,"10. Upland Terrace El, 14. Wasatch Jr, 17. Skyline High",Skyline,"The ALC Program, A Boundary Change","I was surprised to hear that the PAC Committee has already changed its stance on the ALC program enough so that it already had a new slide in the presentation at Skyline this week. I am very concerned about the possibility of the ALC program coming to our elementary school Upland Terrace. Or any school for that matter. But especially concerned about it coming to Upland.
We love and appreciate the inclusive environment that we currently have at Upland. I also love the integration we are doing with our special education students. At Upland we want programs or activities that benefit the entire student body, not just a small group of students. 
I worry that having a separate program that only a small number of students participate in will bring more exclusion and division. The ALC program by nature divides and separates. There is no way around that. I strongly believe that dividing children based on academic achievement is not necessary in elementary school! There is plenty of time for that in secondary education. And I have heard again and again from teachers saying in their 20 or 30 year career they only ever have taught one or two students that were truly ""gifted"" that they could not  adequately provide for in their general classroom. We have amazing teachers!  We know and love many of the kids currently in the ALC program at Morningside and wish they would come to Upland and be with us. I wish these students would come back to their neighborhood schools and learn, play and grow together! Together instead of apart! 
Now I assume you are not interested in getting rid of the ALC program. I wish you would. You say parents demand it. But I think that is unfortunate. I truly think it would benefit every school in this study to close the ALC program. We have amazing teachers that are qualified and so able to teach these ALC students. That said, since I know you won't get rid of the program please consider moving the ALC program to some place that wants it or can greatly benefit by having it come to their school. We do not want it at Upland Terrace! 
I would suggest you strongly consider moving the ALC program to Cottonwood for several reasons:
1. [name removed] at Cottonwood sent an email out to Cottonwood parents encouraging their parents to advocate and ask for the ALC program to come to Cottonwood. They say teachers want it, that it is a good fit. I realize it is not centrally located and is closer to Woodstock already but if a school wants it, has space for it and NEEDS more students it seems like a great fit. 
2.By putting the ALC program at Cottonwood we could give the boundary that was taken from Driggs back and offset the population. I know the that area of Driggs that has been proposed to now go to Cottonwood are upset and say they will still special permit back to Driggs. They want to go to school where their kids have always gone. Giving the ALC program to Cottonwood helps Driggs keep their community and helps increase student body at Cottonwood which they desperately need. Win-win.
3. Also, I do not believe we need two honors programs to feed into Skyline. Churchhill's pre-IB program will already feed into Skyline. By putting the ALC at Cottonwood you could spread the honors progams to another network. ALC at Cottonwood would strengthen the Olympus Network. I know the ALC parents say they want the program to feed into Skyline but that doesn't have to be the case. If they truly want to come to Skyline they will come. Just as I feel if you truly believe your student needs to be in the ALC program they should be willing to drive as far as Granite tells them to. The ALC does not need to be centrally located. You opt in and should be willing to drive.
We need to do what is best for the largest number of students possible, strengthening as many schools as possible. 
I appreciate you taking the time to read this.
Sincerely,
[Name removed]"
9/25/2025 17:19:49,A) I am a parent / patron with students attending one of the schools in the boundary study.,"10. Upland Terrace El, 14. Wasatch Jr",Skyline,The ALC Program,"[Identifying info removed] I’m reaching out to express concerns I’ve heard regarding the possibility of moving the ALC program to Upland.
At the beginning of the PAC study process, the district emphasized its goal to create a complete program for each school. That has not yet been achieved at Upland, and moving the ALC program here would only make it more difficult. We continue to face the challenge of not having three teachers per grade, which our students both need and deserve. Adding five ALC classes would take away the opportunity to grow toward that goal.
Currently, Upland has two strong, inclusive programs—our traditional program and our outstanding Special Education program. These programs work hand in hand, supporting one another in a way that strengthens our whole school community. Adding a third program would stretch resources too thin and undermine the integrity of the programs already thriving here. It risks creating divides rather than fostering the unity Upland has worked so hard to build. Our students—especially our SpEd students—deserve to see their programs supported and protected.
We understand that some ALC parents have expressed concerns about program placement. However, the district’s plan already ensures that ALC students have a program available to them. We ask that equal consideration be given to the many more students who benefit daily from Upland’s traditional and SpEd programs, not just the small percentage served by ALC. Please don’t overlook the majority of children who thrive in our inclusive, healthy, traditional program.
If the district chooses not to keep ALC at Morningside, we urge you to consider moving it to Cottonwood, where we understand both parents and teachers have expressed interest. The concern about proximity to Woodstock does not seem like a strong enough reason to disrupt Upland’s existing programs and stability.
As parents, we are deeply worried that the voices of a small but loud group may be overshadowing the broader needs of many families. Have Upland teachers been consulted about this? From the conversations I’ve had, our teachers are not worried about supporting advanced learners in their traditional classrooms. Their focus is on maintaining the inclusive, supportive environment that Upland is known for.
Please let us know what we, as parents, can do to protect and strengthen our programs. We want to ensure Upland continues moving toward the district’s vision of a complete program, while also finding a fair solution for both ALC families and Upland families.
Thank you so much for your time and consideration.
Sincerely,
[Name removed]"
9/25/2025 18:09:50,A) I am a parent / patron with students attending one of the schools in the boundary study.,5. Morningside El,Skyline,Morningside Closure,"It seems like a really rushed decision not based off of facts/data. I don't feel like a lot of the consequences have been thought through thoroughly or researched. We have repeatedly asked for facts and data and have not received what we've asked for. It seems as though there are ulterior motives behind this closure that are not being presented truthfully to the public. I have two kids at Morningside, one in traditional and one in ALC that are both going to be moved to two separate schools. I will have another child entering kindergarten in 2 years, that is 3 children in elementary with the potential of being in 3 separate schools because our neighborhood school is being recommended to close. Changing Morningside to DLI French only, seems like just a step to closing the school fully. There is no data or plans for this plan to succeed and parents' don't want their kids left in a dying school. Many will choose not to go to Morningside because they don't want their kids to be in a ghost town school that will probably shut down soon. I urge the board to vote against the closure of Morningside. I am glad that the decision was made to not reduce the ALC anymore. I hope that the Board will recognize that there needs to be more time and careful planning when considering shutting down a school with 3 distinct tracks. Our students deserve thoughtful planning, this affects their everyday lives, this should not be a rushed decision. "
9/25/2025 22:19:22,A) I am a parent / patron with students attending one of the schools in the boundary study.,5. Morningside El,Skyline,Morningside Closure,"As a parent of a Traditional Track student at Morningside Elementary, I’m writing to respectfully urge the PAC to reconsider the recommendation to close our school. While I understand the challenges posed by low enrollment in 1st and 2nd grades in the traditional track only, I believe this proposal overlooks the broader strengths of Morningside and the opportunity to build on what’s already working.
Many families have children enrolled across Morningside’s multiple tracks. The ability to remain together in one building is not only logistically important, it’s emotionally grounding. Traditional upper grades are thriving, often with waitlists due to high demand. To dismantle an entire school based on enrollment in just two grade levels feels disproportionate, especially when the broader picture reflects strong, sustained interest across all programs.
On September 18th, over 150 Morningside families formally expressed their desire to remain united. That level of engagement speaks to the deep commitment and cohesion within our community. We are asking for thoughtful investment in a school that is already demonstrating success.
Specifically, I urge the PAC to consider enhancing the Traditional program with a specialized STEM track, similar to the enrichment model being offered at Rosecrest Elementary. Morningside has already secured a CS4All grant for this school year, and students are beginning to benefit from hands-on coding, robotics, and digital literacy experiences. This grant is directly tied to HB 227, the Utah Computer Science Grant Act, which prioritizes equity, inclusion, and innovation. Morningside’s multi-track model makes it an ideal candidate for continued investment under this legislation.
Expanding STEM at Morningside could attract new families, boost early grade enrollment, and deepen learning for current students. While I hope the district’s priority remains serving students within Granite School District, a strengthened STEM program could also draw interest from out-of-district families, bringing in new energy and resources without compromising Granite’s core mission.
With robust Tier 2 and Tier 3 interventions, exceptional special education support, and a well-established culture of collaboration, Morningside is uniquely equipped to lead a STEM initiative. Closing the school would fracture a rare and effective ecosystem and disrupt the academic and emotional stability of many children who have found success within it.
I also want to acknowledge the concern around split or combined classrooms. Like many parents and teachers, I agree they should be avoided. However, Ms. Jackson has confirmed publicly that split classrooms will likely still be necessary in other school including Upland Terrace, Crestview, and possibly Rosecrest if the current recommendation is implemented. This raises a critical question: if split classrooms remain part of the district’s future, why target Morningside, a school with a proven STEM mission and strong foundation for closure? Eliminating Morningside doesn’t solve the problem. If Morningside’s STEM program is supported and thoughtfully fostered with HB 227 in mind, split and combined classrooms will likely not be needed in the future at our school. We owe it to all children and families in Area 5 to go back to the drawing board and find a solution that solves the stated mission of the study.
Let’s prioritize the needs of students already within Granite School District. Please reconsider the closure proposal and explore alternative solutions that preserve and strengthen Morningside Elementary. I ask that you extend that same thoughtful lens to Morningside that you are providing to Rosecrest. This is not a failing school. It’s a thriving, collaborative community with strong programs and deep family commitment. I’m asking for support to grow—not a decision to close.
 Let’s build on what’s working, invest in what’s possible, and continue to support all students with thoughtful, inclusive planning.
"
9/25/2025 22:35:09,A) I am a parent / patron with students attending one of the schools in the boundary study.,5. Morningside El,Skyline,Morningside Closure,"I have heard Hogan state several times that traditional students suffer when in a multi-program school. This is not a fair statement to make when there is no data to support this. My son was in a split class last year and now in the traditional 3rd grade class at Morningside and thriving!

I am also very concerned about the safety of my children walking to Driggs. 45th South is a very busy road with multiple crossings. Imagining my child and his neighborhood friends walking across 27th East is also terrifying. 

From attending in-person and viewing the board meetings online, it appears to me that there are really no real answers or guarantees. This is very disconcerting. With all the major changes and communities this will affect (our children especially), there needs to be more data to support this decision. Please, I urge you to take more time to study these boundaries. This just feels so irresponsible and premature. 

"
9/26/2025 0:26:48,A) I am a parent / patron with students attending one of the schools in the boundary study.,"5. Morningside El, 17. Skyline High",Olympus,"The ALC Program, The DLI Program, Morningside Closure","Thank you for your recent decision to officially pause any changes to the Morningside ALC program. We’ve had three children go through the program thus far who have had wonderful experiences, and we believe there is great value in what it provides. That said, as you are planning to study it in greater depth over the next year or two, we implore you to maintain the ALC program at that site while conducting your research.

Not only has the Morningside community benefited enormously from the interactions between varying-track students and their mutual influence and friendships, but we, like many Morningside families, have children in multiple programs, and it would create a significant hardship for us to manage our elementary students at multiple school sites. If ALC is moved to another location, we would potentially be driving our children to four different schools for years to come (we will have a middle-schooler and a high-schooler to transport as well).

Aside from the increased time and logistical challenges, our children who would be at Morningside together are great friends and would really struggle to be split up for years of what would otherwise be making sweet grade school memories together. The program can best and most accurately be evaluated in its longtime home without the inevitable challenges and emotional toll moving to a new environment will create.

In having many conversations recently on the topic with various community members, both those closely involved and others with no potential impact to them, a universal question arises concerning how quickly the school can be ramped up as a solely French immersion school, if ever. Aside from splitting our children apart, one of our biggest concerns about the current recommendation surrounds our daughter, who will be left alone in the French program at what we are all terrified will essentially be a shell of a school with significantly reduced extracurricular programs and parental support for some time to come. It will take years to adequately build up the French program - if it is even possible - if for no other reason then, because it can only be joined in the early grades. The school shares little in common with Dos Mundos, which clearly benefited from its existing surrounding immersion programs and the many native-speaking local residents who were able to enter at any program grade.

Please, please leave the ALC program at Morningside, if only temporarily, to give adequate time for the program study and for the expanded French program to grow to meaningful numbers. It would mean so very much to our family and to many others’ to slow down and be given the time to do this in a more sufficiently evaluated way. Thank you for taking the time to read and consider my comments. "
9/26/2025 7:50:46,A) I am a parent / patron with students attending one of the schools in the boundary study.,5. Morningside El,Olympus,"The ALC Program, Morningside Closure","I am thrilled with the plan to continue with the ALC at the current capacity of two classes per grade on the east side. The program and teachers have been critically impactful for our older three children and our first grader is currently thriving in the Morningside ALC. She came home last week and said ‘I am really beginning to love school’ and I attribute that to being surrounded by peers who engage in learning and challenge each other and a qualified and experienced teacher who engages with this type of learner. 

As far as relocation of ALC, a central location is desirable and makes transportation to three different schools more feasible for our family. First choice (if relocation from Morningside is necessary) is Upland Terrace, Driggs or Rosecrest (in that order). We appreciate your continued consideration. "
9/26/2025 8:31:59,A) I am a parent / patron with students attending one of the schools in the boundary study.,5. Morningside El,Olympus,The ALC Program,"In 2005 Granite School District closed Canyon Rim elementary and chose to keep Morningside open. But shortly after that, they sold the building to Canyon Rim Academy, which is thriving now. I believe these actions show a negligence in planning for our neighborhoods over here. Is it possible for us to show a pattern of negligence in closing east side elementary schools without proper planning? My hope in showing this would be for them to slow down the decision on these closures and take the time for better planning for real long term consequences for kids and neighborhoods. "
9/26/2025 8:38:23,D) I am a student attending one of the schools within the boundary study,14. Wasatch Jr,Olympus,The ALC Program,I am a student that participated in the ALC program at Morningside. This program helped me find my voice and achieve big things. Through this I found a love for speech and debate. This program needs to stay at Morningside because it has a place there. I don’t feel out of place there being in the ALC. This matters to me. Other schools don’t understand the program and could bully the students participating in it. Please keep it at Morningside. 
9/26/2025 8:54:29,D) I am a student attending one of the schools within the boundary study,14. Wasatch Jr,Olympus,Morningside Closure,I’m in eight grade student that really believes in the three program at Morningside. It gave everyone a home. I met a lot of people with different interests and programs. There was never conflict. We all got along and it worked. If the program is moved the ALC kids would feel excluded. Please save this important program that is working and has worked for 25 years. 
9/26/2025 8:57:47,A) I am a parent / patron with students attending one of the schools in the boundary study.,5. Morningside El,Skyline,"The DLI Program, Morningside Closure",My kids are in the dli program at Morningside. Im worried about resources next year with such a small school. Lack of information/transparency has left whole Morningside community stressed and broken. 
9/26/2025 8:58:58,D) I am a student attending one of the schools within the boundary study,5. Morningside El,Olympus,Morningside Closure,[name removed] I love the ALC program because he helps me love school. I have learned so much and have been challenged. There are other kids like me that ask questions that I can learn from. Please keep it at Morningside. 
9/26/2025 9:21:51,A) I am a parent / patron with students attending one of the schools in the boundary study.,5. Morningside El,Skyline,"The ALC Program, Morningside Closure","I’m so glad that ALC will not be going to Woodstock. We live in the neighborhood just west of Oly Jr. and previously attended Driggs before switching to the ALC program. Our neighborhood has been proposed to move to cottonwood elementary, so selfishly I would love if the ALC program also went to cottonwood and we could be with our neighborhood friends again. But I also like the idea of the ALC moving to driggs or upland or any of the other more central locations. "
9/26/2025 10:18:04,A) I am a parent / patron with students attending one of the schools in the boundary study.,5. Morningside El,Skyline,Morningside Closure,"My son’s 4th grade traditional class at Morningside currently has 34 students. I’m VERY concerned about how the class sizes will be managed at the suggested merged schools. Driggs appears to be nearly full and Crestview isn’t at all conveniently located. If forced to move next year we will likely try for Canyon Rim Academy or homeschool. The closure of Morningside Traditional and move of Morningside ALC feels rushed and unplanned. You cannot expect parents to be supportive of a plan with no foundation. No one seems to be able to answer our questions. Why are we closing down a thriving school that only has low enrollment in 2 lower grades? 
Do we even have the data to support a stand alone French DLI school? Why are we pinning our hopes on out of boundary DLI kids while negatively impacting our our boundary students? It feels wrong and dereliction of your duty to US as tax payers and the students you are paid (quite handsomely I might add) to champion and protect. Makes me wonder who you are actually working for?

As for the proposed bond for a new school. Why on earth would we support this when you are closing schools left and right? Use the money to remodel and let our children learn in their own community. With their own neighbors and friends. I, for one, will be voting against the bond as the financial mismanagement of the GSD is becoming glaringly apparent. "
9/26/2025 12:29:27,A) I am a parent / patron with students attending one of the schools in the boundary study.,5. Morningside El,Skyline,Morningside Closure,"A much simpler alternative solution would be: proceed with Eastwood closure and Oakridge merge. Instead of closing Morningside and merging with Driggs, merge Cottonwood and Crestview instead. This makes geographical sense and would decrease risk need for split classes in Cottonwood and Crestview across all grade levels, better meeting the needs of more students across Area 5. This would allow the Morningside 3 track campus to continue to thrive and would allow more time for ALC to be studied before making any changes for these students. "
